daytime,CPU
5/5/23 12:25,626
5/5/23 13:25,632
5/5/23 14:25,1117
5/5/23 15:25,1587
5/5/23 16:25,1912
5/5/23 17:25,2066
5/5/23 18:25,2452
5/5/23 19:25,2852
5/5/23 20:25,3192
5/5/23 21:25,3149
5/5/23 22:25,3581
5/5/23 23:25,3783
6/5/23 00:25,3977
6/5/23 01:25,3806
6/5/23 02:25,3516
6/5/23 03:25,3228
6/5/23 04:25,2936
6/5/23 05:25,2618
6/5/23 06:25,2613
6/5/23 07:25,2114
6/5/23 08:25,1669
6/5/23 09:25,1074
6/5/23 10:25,602
6/5/23 11:25,586
6/5/23 12:25,571
6/5/23 13:25,651
6/5/23 14:25,1194
6/5/23 15:25,1736
6/5/23 16:25,2155
6/5/23 17:25,2149
6/5/23 18:25,2647
6/5/23 19:25,2920
6/5/23 20:25,3339
6/5/23 21:25,3474
6/5/23 22:25,3641
6/5/23 23:25,3893
7/5/23 00:25,3908
7/5/23 01:25,3837
7/5/23 02:25,3615
7/5/23 03:25,3392
7/5/23 04:25,3059
7/5/23 05:25,2710
7/5/23 06:25,2604
7/5/23 07:25,2316
7/5/23 08:25,1663
7/5/23 09:25,1220
7/5/23 10:25,677
7/5/23 11:25,604
7/5/23 12:25,569
7/5/23 13:25,560
7/5/23 14:25,1202
7/5/23 15:25,1672
7/5/23 16:25,2102
7/5/23 17:25,2071
7/5/23 18:25,2471
7/5/23 19:25,2982
7/5/23 20:25,3358
7/5/23 21:25,3253
7/5/23 22:25,3621
7/5/23 23:25,3786
8/5/23 00:25,3973
8/5/23 01:25,3789
8/5/23 02:25,3635
8/5/23 03:25,3399
8/5/23 04:25,2927
8/5/23 05:25,2678
8/5/23 06:25,2588
8/5/23 07:25,2220
8/5/23 08:25,1824
8/5/23 09:25,1070
8/5/23 10:25,617
8/5/23 11:25,613
8/5/23 12:25,580
8/5/23 13:25,572
8/5/23 14:25,1167
8/5/23 15:25,1666
8/5/23 16:25,2133
8/5/23 17:25,2060
8/5/23 18:25,2411
8/5/23 19:25,2870
8/5/23 20:25,3358
8/5/23 21:25,3335
8/5/23 22:25,3714
8/5/23 23:25,3737
9/5/23 00:25,4039
9/5/23 01:25,3873
9/5/23 02:25,3651
9/5/23 03:25,3393
9/5/23 04:25,2949
9/5/23 05:25,2686
9/5/23 06:25,2514
9/5/23 07:25,2262
9/5/23 08:25,1852
9/5/23 09:25,1168
9/5/23 10:25,607
9/5/23 11:25,589
9/5/23 12:25,608
9/5/23 13:25,556
9/5/23 14:25,1070
9/5/23 15:25,1608
9/5/23 16:25,2087
9/5/23 17:25,2206
9/5/23 18:25,2399
9/5/23 19:25,2744
9/5/23 20:25,3336
9/5/23 21:25,3231
9/5/23 22:25,3548
9/5/23 23:25,3724
10/5/23 00:25,3825
10/5/23 01:25,3833
10/5/23 02:25,3538
10/5/23 03:25,3312
10/5/23 04:25,3011
10/5/23 05:25,2396
10/5/23 06:25,2673
10/5/23 07:25,2225
10/5/23 08:25,1704
10/5/23 09:25,1267
10/5/23 10:25,531
10/5/23 11:25,565
10/5/23 12:25,609
10/5/23 13:25,642
10/5/23 14:25,1131
10/5/23 15:25,1549
10/5/23 16:25,1986
10/5/23 17:25,2048
10/5/23 18:25,2310
10/5/23 19:25,2842
10/5/23 20:25,3195
10/5/23 21:25,3341
10/5/23 22:25,3570
10/5/23 23:25,3820
11/5/23 00:25,3980
11/5/23 01:25,3839
11/5/23 02:25,3500
11/5/23 03:25,3362
11/5/23 04:25,2964
11/5/23 05:25,2608
11/5/23 06:25,2518
11/5/23 07:25,2261
11/5/23 08:25,1732
11/5/23 09:25,1144
11/5/23 10:25,635
11/5/23 11:25,517
11/5/23 12:25,648
11/5/23 13:25,732
11/5/23 14:25,1011
11/5/23 15:25,1578
11/5/23 16:25,2088
11/5/23 17:25,2174
11/5/23 18:25,2541
11/5/23 19:25,2838
11/5/23 20:25,3272
11/5/23 21:25,3289
11/5/23 22:25,3524
11/5/23 23:25,3746
12/5/23 00:25,3965
12/5/23 01:25,3778
12/5/23 02:25,3585
12/5/23 03:25,3239
12/5/23 04:25,3040
12/5/23 05:25,2588
12/5/23 06:25,2585
12/5/23 07:25,2345
12/5/23 08:25,1644
12/5/23 09:25,1285
12/5/23 10:25,544
12/5/23 11:25,630
12/5/23 12:25,613
12/5/23 13:25,750
12/5/23 14:25,1280
12/5/23 15:25,1584
12/5/23 16:25,2054
12/5/23 17:25,2015
12/5/23 18:25,2506
12/5/23 19:25,3003
12/5/23 20:25,3288
12/5/23 21:25,3336
12/5/23 22:25,3557
12/5/23 23:25,3781
13/5/23 00:25,4022
13/5/23 01:25,3803
13/5/23 02:25,3594
13/5/23 03:25,3273
13/5/23 04:25,2959
13/5/23 05:25,2535
13/5/23 06:25,2485
13/5/23 07:25,2219
13/5/23 08:25,1659
13/5/23 09:25,1097
13/5/23 10:25,789
13/5/23 11:25,729
13/5/23 12:25,640
13/5/23 13:25,644
13/5/23 14:25,1305
13/5/23 15:25,1652
13/5/23 16:25,2132
13/5/23 17:25,2057
13/5/23 18:25,2525
13/5/23 19:25,2987
13/5/23 20:25,3254
13/5/23 21:25,3268
13/5/23 22:25,3606
13/5/23 23:25,3751
14/5/23 00:25,3998
14/5/23 01:25,3887
14/5/23 02:25,3578
14/5/23 03:25,3414
14/5/23 04:25,2900
14/5/23 05:25,2576
14/5/23 06:25,2679
14/5/23 07:25,2224
14/5/23 08:25,1795
14/5/23 09:25,1149
14/5/23 10:25,886
14/5/23 11:25,617
14/5/23 12:25,727
14/5/23 13:25,625
14/5/23 14:25,1272
14/5/23 15:25,1626
14/5/23 16:25,2040
14/5/23 17:25,2150
14/5/23 18:25,2573
14/5/23 19:25,2803
14/5/23 20:25,3335
14/5/23 21:25,3341
14/5/23 22:25,3662
14/5/23 23:25,3845
15/5/23 00:25,3970
15/5/23 01:25,4003
15/5/23 02:25,3625
15/5/23 03:25,3445
15/5/23 04:25,2957
15/5/23 05:25,2635
15/5/23 06:25,2733
15/5/23 07:25,2138
15/5/23 08:25,1572
15/5/23 09:25,1198
15/5/23 10:25,652
15/5/23 11:25,590
15/5/23 12:25,603
15/5/23 13:25,523
15/5/23 14:25,1100
15/5/23 15:25,1686
15/5/23 16:25,2196
15/5/23 17:25,2133
15/5/23 18:25,2568
15/5/23 19:25,2929
15/5/23 20:25,3271
15/5/23 21:25,3388
15/5/23 22:25,3578
15/5/23 23:25,3866
16/5/23 00:25,3915
16/5/23 01:25,3750
16/5/23 02:25,3761
16/5/23 03:25,3583
16/5/23 04:25,2940
16/5/23 05:25,2805
16/5/23 06:25,2610
16/5/23 07:25,2157
16/5/23 08:25,1632
16/5/23 09:25,1236
16/5/23 10:25,772
16/5/23 11:25,659
16/5/23 12:25,624
16/5/23 13:25,599
16/5/23 14:25,1208
16/5/23 15:25,1550
16/5/23 16:25,2047
16/5/23 17:25,2033
16/5/23 18:25,2603
16/5/23 19:25,3026
16/5/23 20:25,3264
16/5/23 21:25,3364
16/5/23 22:25,3563
16/5/23 23:25,3783
17/5/23 00:25,3972
17/5/23 01:25,3740
17/5/23 02:25,3604
17/5/23 03:25,3405
17/5/23 04:25,3013
17/5/23 05:25,2601
17/5/23 06:25,2642
17/5/23 07:25,2089
17/5/23 08:25,1751
17/5/23 09:25,1139
17/5/23 10:25,518
17/5/23 11:25,676
17/5/23 12:25,628
17/5/23 13:25,551
17/5/23 14:25,1185
17/5/23 15:25,1707
17/5/23 16:25,2038
17/5/23 17:25,1948
17/5/23 18:25,2371
17/5/23 19:25,2819
17/5/23 20:25,3219
17/5/23 21:25,3189
17/5/23 22:25,3640
17/5/23 23:25,3741
18/5/23 00:25,3865
18/5/23 01:25,3665
18/5/23 02:25,3495
18/5/23 03:25,3239
18/5/23 04:25,2864
18/5/23 05:25,2504
18/5/23 06:25,2597
18/5/23 07:25,2260
18/5/23 08:25,1734
18/5/23 09:25,1110
18/5/23 10:25,613
18/5/23 11:25,581
18/5/23 12:25,569
18/5/23 13:25,607
18/5/23 14:25,1155
18/5/23 15:25,1699
18/5/23 16:25,2194
18/5/23 17:25,2184
18/5/23 18:25,2575
18/5/23 19:25,2987
18/5/23 20:25,3330
18/5/23 21:25,3368
18/5/23 22:25,3558
18/5/23 23:25,3773
19/5/23 00:25,3980
19/5/23 01:25,3736
19/5/23 02:25,3615
19/5/23 03:25,3392
19/5/23 04:25,2877
19/5/23 05:25,2621
19/5/23 06:25,2496
19/5/23 07:25,2140
19/5/23 08:25,1646
19/5/23 09:25,1173
19/5/23 10:25,653
19/5/23 11:25,550
19/5/23 12:25,621
19/5/23 13:25,595
19/5/23 14:25,1321
19/5/23 15:25,1602
19/5/23 16:25,2043
19/5/23 17:25,2059
19/5/23 18:25,2431
19/5/23 19:25,2868
19/5/23 20:25,3293
19/5/23 21:25,3371
19/5/23 22:25,3555
19/5/23 23:25,3855
20/5/23 00:25,3960
20/5/23 01:25,3776
20/5/23 02:25,3598
20/5/23 03:25,3293
20/5/23 04:25,2983
20/5/23 05:25,2489
20/5/23 06:25,2608
20/5/23 07:25,2209
20/5/23 08:25,1698
20/5/23 09:25,1236
20/5/23 10:25,665
20/5/23 11:25,709
20/5/23 12:25,636
20/5/23 13:25,702
20/5/23 14:25,1227
20/5/23 15:25,1661
20/5/23 16:25,2079
20/5/23 17:25,2047
20/5/23 18:25,2553
20/5/23 19:25,2935
20/5/23 20:25,3384
20/5/23 21:25,3428
20/5/23 22:25,3675
20/5/23 23:25,3932
21/5/23 00:25,4013
21/5/23 01:25,3795
21/5/23 02:25,3695
21/5/23 03:25,3394
21/5/23 04:25,2969
21/5/23 05:25,2604
21/5/23 06:25,2688
21/5/23 07:25,2051
21/5/23 08:25,1613
21/5/23 09:25,1249
21/5/23 10:25,540
21/5/23 11:25,604
21/5/23 12:25,632
21/5/23 13:25,662
21/5/23 14:25,1162
21/5/23 15:25,1572
21/5/23 16:25,2015
21/5/23 17:25,2088
21/5/23 18:25,2558
21/5/23 19:25,2836
21/5/23 20:25,3265
21/5/23 21:25,3375
21/5/23 22:25,3570
21/5/23 23:25,3798
22/5/23 00:25,4097
22/5/23 01:25,3800
22/5/23 02:25,3627
22/5/23 03:25,3341
22/5/23 04:25,3018
22/5/23 05:25,2602
22/5/23 06:25,2706
22/5/23 07:25,2184
22/5/23 08:25,1745
22/5/23 09:25,1218
22/5/23 10:25,600
22/5/23 11:25,611
22/5/23 12:25,719
22/5/23 13:25,740
22/5/23 14:25,1065
22/5/23 15:25,1668
22/5/23 16:25,2212
22/5/23 17:25,1992
22/5/23 18:25,2487
22/5/23 19:25,2922
22/5/23 20:25,3295
22/5/23 21:25,3287
22/5/23 22:25,3630
22/5/23 23:25,3796
23/5/23 00:25,3976
23/5/23 01:25,3797
23/5/23 02:25,3599
23/5/23 03:25,3409
23/5/23 04:25,3046
23/5/23 05:25,2628
23/5/23 06:25,2694
23/5/23 07:25,2103
23/5/23 08:25,1771
23/5/23 09:25,1174
23/5/23 10:25,612
23/5/23 11:25,698
23/5/23 12:25,624
23/5/23 13:25,639
23/5/23 14:25,1249
23/5/23 15:25,1628
23/5/23 16:25,2083
23/5/23 17:25,2002
23/5/23 18:25,2476
23/5/23 19:25,2936
23/5/23 20:25,3272
23/5/23 21:25,3397
23/5/23 22:25,3613
23/5/23 23:25,3701
24/5/23 00:25,3985
24/5/23 01:25,3750
24/5/23 02:25,3598
24/5/23 03:25,3256
24/5/23 04:25,3024
24/5/23 05:25,2552
24/5/23 06:25,2602
24/5/23 07:25,2186
24/5/23 08:25,1678
24/5/23 09:25,1200
24/5/23 10:25,720
24/5/23 11:25,661
24/5/23 12:25,628
24/5/23 13:25,582
24/5/23 14:25,1338
24/5/23 15:25,1810
24/5/23 16:25,2138
24/5/23 17:25,1960
24/5/23 18:25,2495
24/5/23 19:25,2874
24/5/23 20:25,3350
24/5/23 21:25,3231
24/5/23 22:25,3561
24/5/23 23:25,3638
25/5/23 00:25,3925
25/5/23 01:25,3710
25/5/23 02:25,3544
25/5/23 03:25,3299
25/5/23 04:25,2906
25/5/23 05:25,2437
25/5/23 06:25,2618
25/5/23 07:25,2222
25/5/23 08:25,1681
25/5/23 09:25,1228
25/5/23 10:25,634
25/5/23 11:25,572
25/5/23 12:25,553
25/5/23 13:25,585
25/5/23 14:25,1247
25/5/23 15:25,1625
25/5/23 16:25,2066
25/5/23 17:25,1996
25/5/23 18:25,2529
25/5/23 19:25,2991
25/5/23 20:25,3303
25/5/23 21:25,3183
25/5/23 22:25,3576
25/5/23 23:25,3770
26/5/23 00:25,3937
26/5/23 01:25,3732
26/5/23 02:25,3668
26/5/23 03:25,3364
26/5/23 04:25,2908
26/5/23 05:25,2636
26/5/23 06:25,2564
26/5/23 07:25,2115
26/5/23 08:25,1668
26/5/23 09:25,1010
26/5/23 10:25,596
26/5/23 11:25,628
26/5/23 12:25,681
26/5/23 13:25,539
26/5/23 14:25,1189
26/5/23 15:25,1522
26/5/23 16:25,2068
26/5/23 17:25,2077
26/5/23 18:25,2455
26/5/23 19:25,2889
26/5/23 20:25,3215
26/5/23 21:25,3353
26/5/23 22:25,3598
26/5/23 23:25,3669
27/5/23 00:25,3949
27/5/23 01:25,3810
27/5/23 02:25,3505
27/5/23 03:25,3322
27/5/23 04:25,2969
27/5/23 05:25,2588
27/5/23 06:25,2639
27/5/23 07:25,2240
27/5/23 08:25,1887
27/5/23 09:25,1109
27/5/23 10:25,598
27/5/23 11:25,555
27/5/23 12:25,522
27/5/23 13:25,627
27/5/23 14:25,1228
27/5/23 15:25,1652
27/5/23 16:25,2210
27/5/23 17:25,2034
27/5/23 18:25,2484
27/5/23 19:25,3066
27/5/23 20:25,3369
27/5/23 21:25,3469
27/5/23 22:25,3698
27/5/23 23:25,3854
28/5/23 00:25,3987
28/5/23 01:25,3922
28/5/23 02:25,3647
28/5/23 03:25,3430
28/5/23 04:25,3003
28/5/23 05:25,2604
28/5/23 06:25,2610
28/5/23 07:25,2178
28/5/23 08:25,1842
28/5/23 09:25,1158
28/5/23 10:25,680
28/5/23 11:25,604
28/5/23 12:25,637
28/5/23 13:25,705
28/5/23 14:25,1149
28/5/23 15:25,1651
28/5/23 16:25,2037
28/5/23 17:25,2086
28/5/23 18:25,2385
28/5/23 19:25,2794
28/5/23 20:25,3214
28/5/23 21:25,3228
28/5/23 22:25,3548
28/5/23 23:25,3745
29/5/23 00:25,3876
29/5/23 01:25,3773
29/5/23 02:25,3477
29/5/23 03:25,3242
29/5/23 04:25,3113
29/5/23 05:25,2533
29/5/23 06:25,2538
29/5/23 07:25,2260
29/5/23 08:25,1717
29/5/23 09:25,1321
29/5/23 10:25,567
29/5/23 11:25,608
29/5/23 12:25,608
29/5/23 13:25,609
29/5/23 14:25,1239
29/5/23 15:25,1472
29/5/23 16:25,1957
29/5/23 17:25,2163
29/5/23 18:25,2426
29/5/23 19:25,2789
29/5/23 20:25,3414
29/5/23 21:25,3311
29/5/23 22:25,3550
29/5/23 23:25,3762
30/5/23 00:25,3909
30/5/23 01:25,3804
30/5/23 02:25,3584
30/5/23 03:25,3245
30/5/23 04:25,2801
30/5/23 05:25,2493
30/5/23 06:25,2513
30/5/23 07:25,2109
30/5/23 08:25,1713
30/5/23 09:25,1244
30/5/23 10:25,578
30/5/23 11:25,637
30/5/23 12:25,717
30/5/23 13:25,669
30/5/23 14:25,1281
30/5/23 15:25,1643
30/5/23 16:25,2108
30/5/23 17:25,2011
30/5/23 18:25,2439
30/5/23 19:25,2954
30/5/23 20:25,3282
30/5/23 21:25,3330
30/5/23 22:25,3560
30/5/23 23:25,3793
31/5/23 00:25,3967
31/5/23 01:25,3787
31/5/23 02:25,3585
31/5/23 03:25,3413
31/5/23 04:25,2844
31/5/23 05:25,2549
31/5/23 06:25,2699
31/5/23 07:25,2173
31/5/23 08:25,1671
31/5/23 09:25,1290
31/5/23 10:25,549
31/5/23 11:25,576
31/5/23 12:25,563
31/5/23 13:25,509
31/5/23 14:25,1065
31/5/23 15:25,1766
31/5/23 16:25,2092
31/5/23 17:25,2126
31/5/23 18:25,2642
31/5/23 19:25,3008
31/5/23 20:25,3398
31/5/23 21:25,3292
31/5/23 22:25,3564
31/5/23 23:25,3720
1/6/23 00:25,3899
1/6/23 01:25,3688
1/6/23 02:25,3551
1/6/23 03:25,3273
1/6/23 04:25,2974
1/6/23 05:25,2604
1/6/23 06:25,2686
1/6/23 07:25,2077
1/6/23 08:25,1600
1/6/23 09:25,1221
1/6/23 10:25,712
1/6/23 11:25,630
1/6/23 12:25,694
1/6/23 13:25,680
1/6/23 14:25,1214
1/6/23 15:25,1580
1/6/23 16:25,2158
1/6/23 17:25,2019
1/6/23 18:25,2386
1/6/23 19:25,2850
1/6/23 20:25,3298
1/6/23 21:25,3232
1/6/23 22:25,3515
1/6/23 23:25,3788
2/6/23 00:25,3926
2/6/23 01:25,3764
2/6/23 02:25,3486
2/6/23 03:25,3318
2/6/23 04:25,2992
2/6/23 05:25,2624
2/6/23 06:25,2573
2/6/23 07:25,2250
2/6/23 08:25,1764
2/6/23 09:25,1241
2/6/23 10:25,581
2/6/23 11:25,626
2/6/23 12:25,568
2/6/23 13:25,652
2/6/23 14:25,1165
2/6/23 15:25,1586
2/6/23 16:25,2035
2/6/23 17:25,2003
2/6/23 18:25,2408
2/6/23 19:25,2896
2/6/23 20:25,3230
2/6/23 21:25,3323
2/6/23 22:25,3479
2/6/23 23:25,3665
3/6/23 00:25,3940
3/6/23 01:25,3729
3/6/23 02:25,3514
3/6/23 03:25,3267
3/6/23 04:25,2877
3/6/23 05:25,2537
3/6/23 06:25,2488
3/6/23 07:25,2148
3/6/23 08:25,1774
3/6/23 09:25,1093
3/6/23 10:25,710
3/6/23 11:25,683
3/6/23 12:25,659
3/6/23 13:25,617
3/6/23 14:25,1201
3/6/23 15:25,1746
3/6/23 16:25,2036
3/6/23 17:25,2068
3/6/23 18:25,2395
3/6/23 19:25,2957
3/6/23 20:25,3240
3/6/23 21:25,3192
3/6/23 22:25,3720
3/6/23 23:25,3805
4/6/23 00:25,3995
4/6/23 01:25,3884
4/6/23 02:25,3642
4/6/23 03:25,3346
4/6/23 04:25,3021
4/6/23 05:25,2539
4/6/23 06:25,2647
4/6/23 07:25,2190
4/6/23 08:25,1751
4/6/23 09:25,1187
4/6/23 10:25,701
4/6/23 11:25,596